date_id,full_date,year,quarter,month,day,month_name,year_month
1,2022-01-01,2022,1,1,1,Jan,2022-01
2,2022-01-02,2022,1,1,2,Jan,2022-01
3,2022-01-03,2022,1,1,3,Jan,2022-01
4,2022-01-04,2022,1,1,4,Jan,2022-01
5,2022-01-05,2022,1,1,5,Jan,2022-01
6,2022-01-06,2022,1,1,6,Jan,2022-01
7,2022-01-07,2022,1,1,7,Jan,2022-01
8,2022-01-08,2022,1,1,8,Jan,2022-01
9,2022-01-09,2022,1,1,9,Jan,2022-01
10,2022-01-10,2022,1,1,10,Jan,2022-01
11,2022-01-11,2022,1,1,11,Jan,2022-01
12,2022-01-12,2022,1,1,12,Jan,2022-01
13,2022-01-13,2022,1,1,13,Jan,2022-01
14,2022-01-14,2022,1,1,14,Jan,2022-01
15,2022-01-15,2022,1,1,15,Jan,2022-01
16,2022-01-16,2022,1,1,16,Jan,2022-01
17,2022-01-17,2022,1,1,17,Jan,2022-01
18,2022-01-18,2022,1,1,18,Jan,2022-01
19,2022-01-19,2022,1,1,19,Jan,2022-01
20,2022-01-20,2022,1,1,20,Jan,2022-01
21,2022-01-21,2022,1,1,21,Jan,2022-01
22,2022-01-22,2022,1,1,22,Jan,2022-01
23,2022-01-23,2022,1,1,23,Jan,2022-01
24,2022-01-24,2022,1,1,24,Jan,2022-01
25,2022-01-25,2022,1,1,25,Jan,2022-01
26,2022-01-26,2022,1,1,26,Jan,2022-01
27,2022-01-27,2022,1,1,27,Jan,2022-01
28,2022-01-28,2022,1,1,28,Jan,2022-01
29,2022-01-29,2022,1,1,29,Jan,2022-01
30,2022-01-30,2022,1,1,30,Jan,2022-01
31,2022-01-31,2022,1,1,31,Jan,2022-01
32,2022-02-01,2022,1,2,1,Feb,2022-02
33,2022-02-02,2022,1,2,2,Feb,2022-02
34,2022-02-03,2022,1,2,3,Feb,2022-02
35,2022-02-04,2022,1,2,4,Feb,2022-02
36,2022-02-05,2022,1,2,5,Feb,2022-02
37,2022-02-06,2022,1,2,6,Feb,2022-02
38,2022-02-07,2022,1,2,7,Feb,2022-02
39,2022-02-08,2022,1,2,8,Feb,2022-02
40,2022-02-09,2022,1,2,9,Feb,2022-02
41,2022-02-10,2022,1,2,10,Feb,2022-02
42,2022-02-11,2022,1,2,11,Feb,2022-02
43,2022-02-12,2022,1,2,12,Feb,2022-02
44,2022-02-13,2022,1,2,13,Feb,2022-02
45,2022-02-14,2022,1,2,14,Feb,2022-02
46,2022-02-15,2022,1,2,15,Feb,2022-02
47,2022-02-16,2022,1,2,16,Feb,2022-02
48,2022-02-17,2022,1,2,17,Feb,2022-02
49,2022-02-18,2022,1,2,18,Feb,2022-02
50,2022-02-19,2022,1,2,19,Feb,2022-02
51,2022-02-20,2022,1,2,20,Feb,2022-02
52,2022-02-21,2022,1,2,21,Feb,2022-02
53,2022-02-22,2022,1,2,22,Feb,2022-02
54,2022-02-23,2022,1,2,23,Feb,2022-02
55,2022-02-24,2022,1,2,24,Feb,2022-02
56,2022-02-25,2022,1,2,25,Feb,2022-02
57,2022-02-26,2022,1,2,26,Feb,2022-02
58,2022-02-27,2022,1,2,27,Feb,2022-02
59,2022-02-28,2022,1,2,28,Feb,2022-02
60,2022-03-01,2022,1,3,1,Mar,2022-03
61,2022-03-02,2022,1,3,2,Mar,2022-03
62,2022-03-03,2022,1,3,3,Mar,2022-03
63,2022-03-04,2022,1,3,4,Mar,2022-03
64,2022-03-05,2022,1,3,5,Mar,2022-03
65,2022-03-06,2022,1,3,6,Mar,2022-03
66,2022-03-07,2022,1,3,7,Mar,2022-03
67,2022-03-08,2022,1,3,8,Mar,2022-03
68,2022-03-09,2022,1,3,9,Mar,2022-03
69,2022-03-10,2022,1,3,10,Mar,2022-03
70,2022-03-11,2022,1,3,11,Mar,2022-03
71,2022-03-12,2022,1,3,12,Mar,2022-03
72,2022-03-13,2022,1,3,13,Mar,2022-03
73,2022-03-14,2022,1,3,14,Mar,2022-03
74,2022-03-15,2022,1,3,15,Mar,2022-03
75,2022-03-16,2022,1,3,16,Mar,2022-03
76,2022-03-17,2022,1,3,17,Mar,2022-03
77,2022-03-18,2022,1,3,18,Mar,2022-03
78,2022-03-19,2022,1,3,19,Mar,2022-03
79,2022-03-20,2022,1,3,20,Mar,2022-03
80,2022-03-21,2022,1,3,21,Mar,2022-03
81,2022-03-22,2022,1,3,22,Mar,2022-03
82,2022-03-23,2022,1,3,23,Mar,2022-03
83,2022-03-24,2022,1,3,24,Mar,2022-03
84,2022-03-25,2022,1,3,25,Mar,2022-03
85,2022-03-26,2022,1,3,26,Mar,2022-03
86,2022-03-27,2022,1,3,27,Mar,2022-03
87,2022-03-28,2022,1,3,28,Mar,2022-03
88,2022-03-29,2022,1,3,29,Mar,2022-03
89,2022-03-30,2022,1,3,30,Mar,2022-03
90,2022-03-31,2022,1,3,31,Mar,2022-03
91,2022-04-01,2022,2,4,1,Apr,2022-04
92,2022-04-02,2022,2,4,2,Apr,2022-04
93,2022-04-03,2022,2,4,3,Apr,2022-04
94,2022-04-04,2022,2,4,4,Apr,2022-04
