fund_house,date_id,aum_crore,num_schemes
SBI Mutual Fund,90,605000,186
ICICI Prudential MF,90,465000,216
HDFC Mutual Fund,90,435000,195
Nippon India MF,90,270000,177
Kotak Mahindra MF,90,270000,168
Aditya Birla Sun Life MF,90,278000,199
Axis Mutual Fund,90,250000,95
UTI Mutual Fund,90,230000,142
Mirae Asset MF,90,105000,56
DSP Mutual Fund,90,110000,88
SBI Mutual Fund,273,630000,186
ICICI Prudential MF,273,488000,216
HDFC Mutual Fund,273,445000,195
Nippon India MF,273,278000,177
Kotak Mahindra MF,273,272000,168
Aditya Birla Sun Life MF,273,285000,199
Axis Mutual Fund,273,240000,95
UTI Mutual Fund,273,232000,142
Mirae Asset MF,273,108000,56
DSP Mutual Fund,273,112000,88
SBI Mutual Fund,455,717000,186
ICICI Prudential MF,455,500000,216
HDFC Mutual Fund,455,450000,195
Nippon India MF,455,293000,177
Kotak Mahindra MF,455,289000,168
Aditya Birla Sun Life MF,455,275000,199
Axis Mutual Fund,455,241000,95
UTI Mutual Fund,455,239000,142
Mirae Asset MF,455,116000,56
DSP Mutual Fund,455,115000,88
SBI Mutual Fund,638,845000,186
ICICI Prudential MF,638,590000,216
HDFC Mutual Fund,638,535000,195
Nippon India MF,638,340000,177
Kotak Mahindra MF,638,325000,168
Aditya Birla Sun Life MF,638,308000,199
Axis Mutual Fund,638,260000,95
UTI Mutual Fund,638,265000,142
Mirae Asset MF,638,142000,56
DSP Mutual Fund,638,132000,88
SBI Mutual Fund,821,1000000,186
ICICI Prudential MF,821,680000,216
HDFC Mutual Fund,821,645000,195
Nippon India MF,821,430000,177
Kotak Mahindra MF,821,380000,168
Aditya Birla Sun Life MF,821,340000,199
Axis Mutual Fund,821,280000,95
UTI Mutual Fund,821,290000,142
Mirae Asset MF,821,175000,56
DSP Mutual Fund,821,155000,88
SBI Mutual Fund,1004,1080000,186
ICICI Prudential MF,1004,742000,216
HDFC Mutual Fund,1004,710000,195
Nippon India MF,1004,468000,177
Kotak Mahindra MF,1004,405000,168
Aditya Birla Sun Life MF,1004,362000,199
Axis Mutual Fund,1004,290000,95
UTI Mutual Fund,1004,308000,142
Mirae Asset MF,1004,190000,56
DSP Mutual Fund,1004,172000,88
SBI Mutual Fund,1096,1114000,186
ICICI Prudential MF,1096,874000,216
HDFC Mutual Fund,1096,787000,195
Nippon India MF,1096,570000,177
Kotak Mahindra MF,1096,489000,168
Aditya Birla Sun Life MF,1096,384000,199
Axis Mutual Fund,1096,300000,95
UTI Mutual Fund,1096,352000,142
Mirae Asset MF,1096,210000,56
DSP Mutual Fund,1096,188000,88
SBI Mutual Fund,1186,1250000,186
ICICI Prudential MF,1186,880000,216
HDFC Mutual Fund,1186,795000,195
Nippon India MF,1186,560000,177
Kotak Mahindra MF,1186,492000,168
Aditya Birla Sun Life MF,1186,385000,199
Axis Mutual Fund,1186,310000,95
UTI Mutual Fund,1186,355000,142
Mirae Asset MF,1186,225000,56
DSP Mutual Fund,1186,195000,88
SBI Mutual Fund,1461,1250000,186
ICICI Prudential MF,1461,1074000,216
HDFC Mutual Fund,1461,930000,195
Nippon India MF,1461,700000,177
Kotak Mahindra MF,1461,580000,168
Aditya Birla Sun Life MF,1461,460000,199
Axis Mutual Fund,1461,350000,95
UTI Mutual Fund,1461,410000,142
Mirae Asset MF,1461,290000,56
DSP Mutual Fund,1461,230000,88
