amfi_code,return_1yr_pct,return_3yr_pct,return_5yr_pct,expense_ratio_pct
119551,12.42,12.36,14.45,1.54
119552,15.25,11.3,14.23,0.66
119598,24.56,23.39,20.67,1.43
119599,20.59,23.14,21.82,0.72
119120,5.34,6.07,5.43,0.77
100016,10.94,14.84,11.32,1.55
125497,11.48,13.38,13.48,0.92
100033,15.43,16.58,17.69,1.38
125498,19.98,15.29,15.85,0.78
100025,6.83,7.37,6.41,0.56
120503,15.63,11.54,11.46,1.42
120504,14.12,14.41,13.02,0.8
120505,14.02,18.08,17.55,1.36
120506,16.67,14.76,12.6,1.41
120507,8.89,7.68,7.94,0.74
118632,15.84,14.0,14.7,1.51
118633,14.42,12.33,14.72,0.72
118634,21.3,20.15,21.88,1.53
118635,10.14,11.77,12.31,0.89
118636,6.19,5.31,8.71,0.55
120841,14.37,12.25,13.42,1.59
120842,17.12,18.23,17.75,1.56
120843,15.74,15.65,13.5,1.45
120844,4.26,6.18,8.26,0.6
119092,11.82,11.84,14.14,1.64
119093,13.95,12.14,13.66,0.75
119094,14.88,15.18,18.94,1.38
119095,21.97,20.98,22.62,1.38
101206,14.82,13.78,12.86,1.6
101207,24.93,22.38,23.8,1.53
101208,6.18,5.14,7.95,0.79
102885,13.76,12.1,11.31,1.57
102886,16.3,15.61,15.86,1.51
102887,17.43,15.34,15.78,1.64
148567,15.12,14.81,12.68,1.46
148568,14.91,14.56,15.68,1.52
148569,11.16,13.58,14.26,1.6
149322,11.96,12.82,12.35,1.54
149323,14.12,17.16,19.0,1.61
149324,20.2,20.08,20.61,1.52
