,date,nav
0,23-06-2026,203.54430
1,22-06-2026,204.12630
2,19-06-2026,202.07610
3,18-06-2026,200.95650
4,17-06-2026,199.83020
5,16-06-2026,198.61520
6,15-06-2026,198.03200
7,12-06-2026,196.55770
8,11-06-2026,192.67220
9,10-06-2026,193.43710
10,09-06-2026,194.38130
11,08-06-2026,191.90920
12,05-06-2026,194.75470
13,04-06-2026,194.52200
14,03-06-2026,194.08100
15,02-06-2026,193.12950
16,01-06-2026,192.31950
17,31-05-2026,193.68360
18,29-05-2026,193.68480
19,27-05-2026,195.05010
20,26-05-2026,194.22580
21,25-05-2026,193.55990
22,22-05-2026,192.12270
23,21-05-2026,191.75750
24,20-05-2026,189.86610
25,19-05-2026,189.55530
26,18-05-2026,187.91260
27,15-05-2026,190.24050
28,14-05-2026,189.93450
29,13-05-2026,190.46400
30,12-05-2026,190.61520
31,11-05-2026,195.58600
32,08-05-2026,196.88210
33,07-05-2026,197.47530
34,06-05-2026,196.00360
35,05-05-2026,194.56180
36,04-05-2026,195.44690
37,30-04-2026,193.41310
38,29-04-2026,194.15230
39,28-04-2026,193.48430
40,27-04-2026,193.83170
41,24-04-2026,191.04250
42,23-04-2026,193.03170
43,22-04-2026,194.19280
44,21-04-2026,192.63970
45,20-04-2026,191.05830
46,17-04-2026,190.52420
47,16-04-2026,188.33160
48,15-04-2026,187.27860
49,13-04-2026,184.34910
50,10-04-2026,184.69670
51,09-04-2026,181.24550
52,08-04-2026,180.57830
53,07-04-2026,174.83420
54,06-04-2026,174.91510
55,02-04-2026,173.84710
56,01-04-2026,173.78200
57,31-03-2026,169.37060
58,30-03-2026,169.37080
59,27-03-2026,172.47390
60,25-03-2026,175.42110
61,24-03-2026,172.00490
62,23-03-2026,169.10910
63,20-03-2026,174.62050
64,19-03-2026,173.90040
65,18-03-2026,177.49080
66,17-03-2026,174.06280
67,16-03-2026,173.81980
68,13-03-2026,173.97540
69,12-03-2026,177.98880
70,11-03-2026,178.38910
71,10-03-2026,178.84190
72,09-03-2026,175.77420
73,06-03-2026,178.97840
74,05-03-2026,179.32390
75,04-03-2026,177.99610
76,02-03-2026,181.31750
77,28-02-2026,184.75790
78,27-02-2026,184.75810
79,26-02-2026,186.09500
80,25-02-2026,186.04880
81,24-02-2026,186.20800
82,23-02-2026,187.57210
83,20-02-2026,186.22280
84,19-02-2026,186.66660
85,18-02-2026,188.21280
86,17-02-2026,187.64370
87,16-02-2026,185.84710
88,13-02-2026,187.23600
89,12-02-2026,189.60290
90,11-02-2026,189.74640
91,10-02-2026,189.01900
92,09-02-2026,188.46900
93,06-02-2026,184.62700
94,05-02-2026,185.69490
95,04-02-2026,186.77740
96,03-02-2026,186.70090
97,02-02-2026,180.54240
98,31-01-2026,183.30100
99,30-01-2026,183.30210
100,29-01-2026,179.94080
101,28-01-2026,181.08730
102,27-01-2026,179.55150
103,23-01-2026,179.80350
104,22-01-2026,182.75440
105,21-01-2026,181.53250
106,20-01-2026,181.83500
107,19-01-2026,185.40420
108,16-01-2026,186.97190
109,14-01-2026,187.33750
110,13-01-2026,187.65940
111,12-01-2026,186.18370
112,09-01-2026,187.09710
113,08-01-2026,190.16000
114,07-01-2026,193.31730
115,06-01-2026,193.70270
116,05-01-2026,194.37860
117,02-01-2026,194.57400
118,01-01-2026,193.64170
119,31-12-2025,193.77240
120,30-12-2025,191.95010
121,29-12-2025,192.54100
122,26-12-2025,192.59130
123,24-12-2025,193.28480
124,23-12-2025,193.26520
125,22-12-2025,192.25730
126,19-12-2025,191.11570
127,18-12-2025,189.54200
128,17-12-2025,190.06210
129,16-12-2025,191.31430
130,15-12-2025,193.13250
131,12-12-2025,192.33770
132,11-12-2025,191.49520
133,10-12-2025,191.25570
134,09-12-2025,191.35730
135,08-12-2025,190.15910
136,05-12-2025,193.14510
137,04-12-2025,193.45990
138,03-12-2025,194.33550
139,02-12-2025,194.43120
140,01-12-2025,195.36260
141,30-11-2025,194.97900
142,28-11-2025,194.97840
143,27-11-2025,195.14900
144,26-11-2025,195.85550
145,25-11-2025,194.20420
146,24-11-2025,193.90920
147,21-11-2025,194.25170
148,20-11-2025,196.07320
149,19-11-2025,196.52800
150,18-11-2025,196.94780
151,17-11-2025,197.92120
152,14-11-2025,197.06760
153,13-11-2025,196.54650
154,12-11-2025,196.88400
155,11-11-2025,196.44860
156,10-11-2025,196.24510
157,07-11-2025,197.31500
158,06-11-2025,197.80320
159,04-11-2025,200.46780
160,03-11-2025,200.97090
161,31-10-2025,199.82340
162,30-10-2025,200.51850
163,29-10-2025,201.03750
164,28-10-2025,200.63480
165,27-10-2025,199.79650
166,24-10-2025,198.41150
167,23-10-2025,198.75210
168,20-10-2025,197.52580
169,17-10-2025,197.10750
170,16-10-2025,196.95210
171,15-10-2025,194.70000
172,14-10-2025,193.39750
173,13-10-2025,194.53640
174,10-10-2025,195.11850
175,09-10-2025,195.03760
176,08-10-2025,195.85870
177,07-10-2025,196.42940
178,06-10-2025,196.54830
179,03-10-2025,196.29650
180,01-10-2025,195.08560
181,30-09-2025,193.88220
182,26-09-2025,194.09730
183,25-09-2025,197.34470
184,24-09-2025,198.88610
185,23-09-2025,199.45730
186,22-09-2025,200.25390
187,19-09-2025,201.30600
188,18-09-2025,201.54470
189,17-09-2025,201.82000
190,16-09-2025,201.17950
191,15-09-2025,200.09670
192,12-09-2025,199.07160
193,11-09-2025,198.98350
194,10-09-2025,198.70750
195,09-09-2025,198.24440
196,08-09-2025,197.44800
197,05-09-2025,197.59390
198,04-09-2025,197.68870
199,03-09-2025,197.63250
200,02-09-2025,196.23670
201,01-09-2025,195.73430
202,31-08-2025,193.75370
203,29-08-2025,193.75320
204,28-08-2025,194.48930
205,26-08-2025,195.59460
206,25-08-2025,198.78050
207,22-08-2025,199.11560
208,21-08-2025,200.05540
209,20-08-2025,198.84770
210,19-08-2025,198.03890
211,18-08-2025,196.92030
212,14-08-2025,193.41310
213,13-08-2025,192.92220
214,12-08-2025,192.70500
215,11-08-2025,193.15840
216,08-08-2025,191.95750
217,07-08-2025,193.00640
218,06-08-2025,193.57560
219,05-08-2025,194.97310
220,04-08-2025,195.65360
221,01-08-2025,194.95480
222,31-07-2025,197.48900
223,30-07-2025,198.45080
224,29-07-2025,197.81460
225,28-07-2025,197.46290
226,25-07-2025,199.43490
227,24-07-2025,202.72100
228,23-07-2025,203.90430
229,22-07-2025,203.37140
230,21-07-2025,203.80280
231,18-07-2025,204.03560
232,17-07-2025,204.90430
233,16-07-2025,203.68350
234,15-07-2025,203.92680
235,14-07-2025,202.01890
236,11-07-2025,201.26060
237,10-07-2025,201.59850
238,09-07-2025,201.32870
239,08-07-2025,200.43960
240,07-07-2025,200.32350
241,04-07-2025,200.67620
242,03-07-2025,200.01860
243,02-07-2025,199.34090
244,01-07-2025,200.26720
245,30-06-2025,200.31780
246,27-06-2025,198.06880
247,26-06-2025,197.22860
248,25-06-2025,197.44050
249,24-06-2025,194.48380
250,23-06-2025,192.97300
251,20-06-2025,192.58720
252,19-06-2025,192.15350
253,18-06-2025,194.74980
254,17-06-2025,194.49760
255,16-06-2025,194.31170
256,13-06-2025,193.87020
257,12-06-2025,194.31590
258,11-06-2025,196.31550
259,10-06-2025,196.32030
260,09-06-2025,196.22680
261,06-06-2025,194.43670
262,05-06-2025,193.46220
263,04-06-2025,193.32410
264,03-06-2025,193.35580
265,02-06-2025,193.01410
266,31-05-2025,192.67840
267,30-05-2025,192.67720
268,29-05-2025,192.49060
269,28-05-2025,192.23220
270,27-05-2025,191.69150
271,26-05-2025,192.01160
272,23-05-2025,190.74280
273,22-05-2025,190.22970
274,21-05-2025,190.27080
275,20-05-2025,190.16200
276,19-05-2025,192.00150
277,16-05-2025,190.55430
278,15-05-2025,189.77160
279,14-05-2025,188.34010
280,13-05-2025,185.91990
281,12-05-2025,185.51940
282,09-05-2025,180.30790
283,08-05-2025,181.21480
284,07-05-2025,182.51470
285,06-05-2025,180.87420
286,05-05-2025,183.67000
287,02-05-2025,181.67630
288,30-04-2025,181.85270
289,29-04-2025,184.47490
290,28-04-2025,184.79840
291,25-04-2025,184.38920
292,24-04-2025,187.44420
293,23-04-2025,187.49180
294,22-04-2025,187.45940
295,21-04-2025,186.10860
296,17-04-2025,183.49400
297,16-04-2025,182.67970
298,15-04-2025,181.46880
299,11-04-2025,177.35900
300,09-04-2025,173.40240
301,08-04-2025,174.61980
302,07-04-2025,171.89300
303,04-04-2025,176.88530
304,03-04-2025,181.02050
305,02-04-2025,180.50400
306,01-04-2025,178.30730
307,31-03-2025,178.56280
308,28-03-2025,178.55480
309,27-03-2025,178.65350
310,26-03-2025,178.86170
311,25-03-2025,181.14990
312,24-03-2025,181.66260
313,21-03-2025,179.87650
314,20-03-2025,177.25460
315,19-03-2025,176.27700
316,18-03-2025,174.30650
317,17-03-2025,170.84150
318,13-03-2025,170.44540
319,12-03-2025,170.91270
320,11-03-2025,170.81180
321,10-03-2025,171.88780
322,07-03-2025,173.64640
323,06-03-2025,173.05460
324,05-03-2025,170.53780
325,04-03-2025,167.41440
326,03-03-2025,166.53630
327,28-02-2025,167.27530
328,27-02-2025,169.27610
329,25-02-2025,170.57720
330,24-02-2025,171.02810
331,21-02-2025,173.19400
332,20-02-2025,173.72510
333,19-02-2025,172.85420
334,18-02-2025,170.63510
335,17-02-2025,172.60170
336,14-02-2025,173.70270
337,13-02-2025,177.22140
338,12-02-2025,178.06730
339,11-02-2025,178.80970
340,10-02-2025,183.49470
341,07-02-2025,186.60010
342,06-02-2025,188.22360
343,05-02-2025,188.00120
344,04-02-2025,187.74020
345,03-02-2025,186.58870
346,31-01-2025,185.89270
347,30-01-2025,183.94810
348,29-01-2025,184.47400
349,28-01-2025,179.99810
350,27-01-2025,181.15050
351,24-01-2025,184.83570
352,23-01-2025,187.60260
353,22-01-2025,186.99250
354,21-01-2025,189.03020
355,20-01-2025,191.86990
356,17-01-2025,190.54740
357,16-01-2025,191.54610
358,15-01-2025,190.29080
359,14-01-2025,189.43940
360,13-01-2025,187.97080
361,10-01-2025,194.09510
362,09-01-2025,197.39780
363,08-01-2025,199.10830
364,07-01-2025,201.51000
365,06-01-2025,199.93250
366,03-01-2025,204.74730
367,02-01-2025,204.95800
368,01-01-2025,204.01330
369,31-12-2024,202.02500
370,30-12-2024,200.94740
371,27-12-2024,202.27440
372,26-12-2024,201.17120
373,24-12-2024,201.91170
374,23-12-2024,201.82350
375,20-12-2024,203.86390
376,19-12-2024,208.18140
377,18-12-2024,208.90390
378,17-12-2024,209.14900
379,16-12-2024,209.93610
380,13-12-2024,209.47050
381,12-12-2024,209.13640
382,11-12-2024,210.48870
383,10-12-2024,210.19360
384,09-12-2024,209.11880
385,06-12-2024,207.77930
386,05-12-2024,206.96340
387,04-12-2024,206.87990
388,03-12-2024,205.61420
389,02-12-2024,203.06620
390,30-11-2024,203.23060
